Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
02-05-2019,0451PM,InitiateFirstDisb_Active_Repayment,1,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment1.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_1.json,PASS,
02-05-2019,0451PM,InitiateFirstDisb_Active_Repayment,2,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment2.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_2.json,PASS,
02-05-2019,0451PM,InitiateFirstDisb_Active_Repayment,3,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment3.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_3.json,PASS,
02-05-2019,0451PM,InitiateFirstDisb_Active_Repayment,4,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment4.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_4.json,PASS,
02-05-2019,0451PM,InitiateFirstDisb_Active_Repayment,5,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment5.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_5.json,PASS,
02-05-2019,0451PM,InitiateFirstDisb_Active_Repayment,6,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment6.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_6.json,PASS,
02-05-2019,0451PM,InitiateFirstDisb_Active_Repayment,7,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment7.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_7.json,PASS,
02-05-2019,0451PM,InitiateFirstDisb_Active_Repayment,8,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment8.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_8.json,PASS,
02-05-2019,0451PM,InitiateFirstDisb_Active_Repayment,9,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment9.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_9.json,FAIL,Actual response code received is 400
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,10,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment10.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_10.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,11,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment11.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_11.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,12,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment12.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_12.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,13,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment13.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_13.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,14,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment14.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_14.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,15,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment15.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_15.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,16,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment16.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_16.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,17,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment17.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_17.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,18,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment18.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_18.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,19,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment19.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_19.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,20,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment20.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_20.json,FAIL,Actual response code received is 400
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,21,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment21.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_21.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,22,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment22.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_22.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,23,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment23.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_23.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,24,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment24.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_24.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,25,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment25.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_25.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,26,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment26.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_26.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,27,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment27.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_27.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,28,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment28.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_28.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,29,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment29.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_29.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,30,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment30.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_30.json,PASS,
02-05-2019,0452PM,InitiateFirstDisb_Active_Repayment,31,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment31.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_31.json,PASS,
02-05-2019,0453PM,InitiateFirstDisb_Active_Repayment,32,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment32.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_32.json,PASS,
02-05-2019,0453PM,InitiateFirstDisb_Active_Repayment,33,C:\ACorn\jsonPayload\02-05-2019_0451PM\testScenario_for_API__InitiateFirstDisb_Active_Repayment33.json,C:\ACorn\jsonOutput\02-05-2019_0451PM\InitiateFirstDisb_Active_RepaymentjsonOutput_33.json,PASS,
