Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
03-04-2019,0133PM,LoanAccountApprove_reject,1,C:\ACorn\jsonPayload\03-04-2019_0132PM\testScenario_for_API__LoanAccountApprove_reject1.json,C:\ACorn\jsonOutput\03-04-2019_0132PM\LoanAccountApprove_rejectjsonOutput_1.json,FAIL,Actual response code received is 404
03-04-2019,0133PM,LoanAccountApprove_reject,2,C:\ACorn\jsonPayload\03-04-2019_0132PM\testScenario_for_API__LoanAccountApprove_reject2.json,C:\ACorn\jsonOutput\03-04-2019_0132PM\LoanAccountApprove_rejectjsonOutput_2.json,FAIL,Actual response code received is 404
03-04-2019,0133PM,LoanAccountApprove_reject,3,C:\ACorn\jsonPayload\03-04-2019_0132PM\testScenario_for_API__LoanAccountApprove_reject3.json,C:\ACorn\jsonOutput\03-04-2019_0132PM\LoanAccountApprove_rejectjsonOutput_3.json,FAIL,Actual response code received is 404
03-04-2019,0133PM,LoanAccountApprove_reject,4,C:\ACorn\jsonPayload\03-04-2019_0132PM\testScenario_for_API__LoanAccountApprove_reject4.json,C:\ACorn\jsonOutput\03-04-2019_0132PM\LoanAccountApprove_rejectjsonOutput_4.json,FAIL,Actual response code received is 404
03-04-2019,0133PM,LoanAccountApprove_reject,5,C:\ACorn\jsonPayload\03-04-2019_0132PM\testScenario_for_API__LoanAccountApprove_reject5.json,C:\ACorn\jsonOutput\03-04-2019_0132PM\LoanAccountApprove_rejectjsonOutput_5.json,FAIL,Actual response code received is 404
03-04-2019,0133PM,LoanAccountApprove_reject,6,C:\ACorn\jsonPayload\03-04-2019_0132PM\testScenario_for_API__LoanAccountApprove_reject6.json,C:\ACorn\jsonOutput\03-04-2019_0132PM\LoanAccountApprove_rejectjsonOutput_6.json,FAIL,Actual response code received is 404
03-04-2019,0133PM,LoanAccountApprove_reject,7,C:\ACorn\jsonPayload\03-04-2019_0132PM\testScenario_for_API__LoanAccountApprove_reject7.json,C:\ACorn\jsonOutput\03-04-2019_0132PM\LoanAccountApprove_rejectjsonOutput_7.json,FAIL,Actual response code received is 404
03-04-2019,0133PM,LoanAccountApprove_reject,8,C:\ACorn\jsonPayload\03-04-2019_0132PM\testScenario_for_API__LoanAccountApprove_reject8.json,C:\ACorn\jsonOutput\03-04-2019_0132PM\LoanAccountApprove_rejectjsonOutput_8.json,FAIL,Actual response code received is 404
03-04-2019,0133PM,LoanAccountApprove_reject,9,C:\ACorn\jsonPayload\03-04-2019_0132PM\testScenario_for_API__LoanAccountApprove_reject9.json,C:\ACorn\jsonOutput\03-04-2019_0132PM\LoanAccountApprove_rejectjsonOutput_9.json,FAIL,Actual response code received is 404
03-04-2019,0133PM,LoanAccountApprove_reject,10,C:\ACorn\jsonPayload\03-04-2019_0132PM\testScenario_for_API__LoanAccountApprove_reject10.json,C:\ACorn\jsonOutput\03-04-2019_0132PM\LoanAccountApprove_rejectjsonOutput_10.json,FAIL,Actual response code received is 404
