Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
03-06-2019,0511PM,FeeEnquiry_LoanCreation,1,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation1.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_1.json,PASS,
03-06-2019,0511PM,FeeEnquiry_LoanCreation,2,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation2.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_2.json,PASS,
03-06-2019,0511PM,FeeEnquiry_LoanCreation,3,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation3.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_3.json,PASS,
03-06-2019,0511PM,FeeEnquiry_LoanCreation,4,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation4.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_4.json,PASS,
03-06-2019,0511PM,FeeEnquiry_LoanCreation,5,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation5.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_5.json,PASS,
03-06-2019,0511PM,FeeEnquiry_LoanCreation,6,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation6.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_6.json,PASS,
03-06-2019,0511PM,FeeEnquiry_LoanCreation,7,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation7.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_7.json,PASS,
03-06-2019,0511PM,FeeEnquiry_LoanCreation,8,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation8.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_8.json,PASS,
03-06-2019,0511PM,FeeEnquiry_LoanCreation,9,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation9.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_9.json,PASS,
03-06-2019,0511PM,FeeEnquiry_LoanCreation,10,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation10.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_10.json,PASS,
03-06-2019,0511PM,FeeEnquiry_LoanCreation,11,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation11.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_11.json,PASS,
03-06-2019,0511PM,FeeEnquiry_LoanCreation,12,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation12.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_12.json,PASS,
03-06-2019,0511PM,FeeEnquiry_LoanCreation,13,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation13.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_13.json,PASS,
03-06-2019,0511PM,FeeEnquiry_LoanCreation,14,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation14.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_14.json,PASS,
03-06-2019,0511PM,FeeEnquiry_LoanCreation,15,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation15.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_15.json,PASS,
03-06-2019,0511PM,FeeEnquiry_LoanCreation,16,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation16.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_16.json,PASS,
03-06-2019,0511PM,FeeEnquiry_LoanCreation,17,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation17.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_17.json,PASS,
03-06-2019,0511PM,FeeEnquiry_LoanCreation,18,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation18.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_18.json,FAIL,Actual response code received is 400
03-06-2019,0511PM,FeeEnquiry_LoanCreation,19,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation19.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_19.json,FAIL,Actual response code received is 400
03-06-2019,0511PM,FeeEnquiry_LoanCreation,20,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation20.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_20.json,FAIL,Actual response code received is 400
03-06-2019,0511PM,FeeEnquiry_LoanCreation,21,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation21.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_21.json,FAIL,Actual response code received is 400
03-06-2019,0511PM,FeeEnquiry_LoanCreation,22,C:\ACorn\jsonPayload\03-06-2019_0510PM\testScenario_for_API__FeeEnquiry_LoanCreation22.json,C:\ACorn\jsonOutput\03-06-2019_0510PM\FeeEnquiry_LoanCreationjsonOutput_22.json,FAIL,Actual response code received is 400
