Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
03-06-2019,0537PM,FeeInquiery_Approve,1,C:\ACorn\jsonPayload\03-06-2019_0537PM\testScenario_for_API__FeeInquiery_Approve1.json,C:\ACorn\jsonOutput\03-06-2019_0537PM\FeeInquiery_ApprovejsonOutput_1.json,PASS,
03-06-2019,0537PM,FeeInquiery_Approve,2,C:\ACorn\jsonPayload\03-06-2019_0537PM\testScenario_for_API__FeeInquiery_Approve2.json,C:\ACorn\jsonOutput\03-06-2019_0537PM\FeeInquiery_ApprovejsonOutput_2.json,PASS,
03-06-2019,0537PM,FeeInquiery_Approve,3,C:\ACorn\jsonPayload\03-06-2019_0537PM\testScenario_for_API__FeeInquiery_Approve3.json,C:\ACorn\jsonOutput\03-06-2019_0537PM\FeeInquiery_ApprovejsonOutput_3.json,PASS,
03-06-2019,0537PM,FeeInquiery_Approve,4,C:\ACorn\jsonPayload\03-06-2019_0537PM\testScenario_for_API__FeeInquiery_Approve4.json,C:\ACorn\jsonOutput\03-06-2019_0537PM\FeeInquiery_ApprovejsonOutput_4.json,PASS,
03-06-2019,0537PM,FeeInquiery_Approve,5,C:\ACorn\jsonPayload\03-06-2019_0537PM\testScenario_for_API__FeeInquiery_Approve5.json,C:\ACorn\jsonOutput\03-06-2019_0537PM\FeeInquiery_ApprovejsonOutput_5.json,PASS,
03-06-2019,0537PM,FeeInquiery_Approve,6,C:\ACorn\jsonPayload\03-06-2019_0537PM\testScenario_for_API__FeeInquiery_Approve6.json,C:\ACorn\jsonOutput\03-06-2019_0537PM\FeeInquiery_ApprovejsonOutput_6.json,PASS,
03-06-2019,0537PM,FeeInquiery_Approve,7,C:\ACorn\jsonPayload\03-06-2019_0537PM\testScenario_for_API__FeeInquiery_Approve7.json,C:\ACorn\jsonOutput\03-06-2019_0537PM\FeeInquiery_ApprovejsonOutput_7.json,PASS,
03-06-2019,0537PM,FeeInquiery_Approve,8,C:\ACorn\jsonPayload\03-06-2019_0537PM\testScenario_for_API__FeeInquiery_Approve8.json,C:\ACorn\jsonOutput\03-06-2019_0537PM\FeeInquiery_ApprovejsonOutput_8.json,PASS,
03-06-2019,0537PM,FeeInquiery_Approve,9,C:\ACorn\jsonPayload\03-06-2019_0537PM\testScenario_for_API__FeeInquiery_Approve9.json,C:\ACorn\jsonOutput\03-06-2019_0537PM\FeeInquiery_ApprovejsonOutput_9.json,PASS,
03-06-2019,0537PM,FeeInquiery_Approve,10,C:\ACorn\jsonPayload\03-06-2019_0537PM\testScenario_for_API__FeeInquiery_Approve10.json,C:\ACorn\jsonOutput\03-06-2019_0537PM\FeeInquiery_ApprovejsonOutput_10.json,PASS,
