Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
03-06-2019,0608PM,FeeEnquiery_Disbursement,1,C:\ACorn\jsonPayload\03-06-2019_0608PM\testScenario_for_API__FeeEnquiery_Disbursement1.json,C:\ACorn\jsonOutput\03-06-2019_0608PM\FeeEnquiery_DisbursementjsonOutput_1.json,PASS,
03-06-2019,0608PM,FeeEnquiery_Disbursement,2,C:\ACorn\jsonPayload\03-06-2019_0608PM\testScenario_for_API__FeeEnquiery_Disbursement2.json,C:\ACorn\jsonOutput\03-06-2019_0608PM\FeeEnquiery_DisbursementjsonOutput_2.json,PASS,
03-06-2019,0608PM,FeeEnquiery_Disbursement,3,C:\ACorn\jsonPayload\03-06-2019_0608PM\testScenario_for_API__FeeEnquiery_Disbursement3.json,C:\ACorn\jsonOutput\03-06-2019_0608PM\FeeEnquiery_DisbursementjsonOutput_3.json,PASS,
03-06-2019,0608PM,FeeEnquiery_Disbursement,4,C:\ACorn\jsonPayload\03-06-2019_0608PM\testScenario_for_API__FeeEnquiery_Disbursement4.json,C:\ACorn\jsonOutput\03-06-2019_0608PM\FeeEnquiery_DisbursementjsonOutput_4.json,PASS,
03-06-2019,0608PM,FeeEnquiery_Disbursement,5,C:\ACorn\jsonPayload\03-06-2019_0608PM\testScenario_for_API__FeeEnquiery_Disbursement5.json,C:\ACorn\jsonOutput\03-06-2019_0608PM\FeeEnquiery_DisbursementjsonOutput_5.json,PASS,
03-06-2019,0609PM,FeeEnquiery_Disbursement,6,C:\ACorn\jsonPayload\03-06-2019_0608PM\testScenario_for_API__FeeEnquiery_Disbursement6.json,C:\ACorn\jsonOutput\03-06-2019_0608PM\FeeEnquiery_DisbursementjsonOutput_6.json,PASS,
03-06-2019,0609PM,FeeEnquiery_Disbursement,7,C:\ACorn\jsonPayload\03-06-2019_0608PM\testScenario_for_API__FeeEnquiery_Disbursement7.json,C:\ACorn\jsonOutput\03-06-2019_0608PM\FeeEnquiery_DisbursementjsonOutput_7.json,PASS,
03-06-2019,0609PM,FeeEnquiery_Disbursement,8,C:\ACorn\jsonPayload\03-06-2019_0608PM\testScenario_for_API__FeeEnquiery_Disbursement8.json,C:\ACorn\jsonOutput\03-06-2019_0608PM\FeeEnquiery_DisbursementjsonOutput_8.json,PASS,
03-06-2019,0609PM,FeeEnquiery_Disbursement,9,C:\ACorn\jsonPayload\03-06-2019_0608PM\testScenario_for_API__FeeEnquiery_Disbursement9.json,C:\ACorn\jsonOutput\03-06-2019_0608PM\FeeEnquiery_DisbursementjsonOutput_9.json,PASS,
03-06-2019,0609PM,FeeEnquiery_Disbursement,10,C:\ACorn\jsonPayload\03-06-2019_0608PM\testScenario_for_API__FeeEnquiery_Disbursement10.json,C:\ACorn\jsonOutput\03-06-2019_0608PM\FeeEnquiery_DisbursementjsonOutput_10.json,PASS,
03-06-2019,0609PM,FeeEnquiery_Disbursement,11,C:\ACorn\jsonPayload\03-06-2019_0608PM\testScenario_for_API__FeeEnquiery_Disbursement11.json,C:\ACorn\jsonOutput\03-06-2019_0608PM\FeeEnquiery_DisbursementjsonOutput_11.json,PASS,
03-06-2019,0609PM,FeeEnquiery_Disbursement,12,C:\ACorn\jsonPayload\03-06-2019_0608PM\testScenario_for_API__FeeEnquiery_Disbursement12.json,C:\ACorn\jsonOutput\03-06-2019_0608PM\FeeEnquiery_DisbursementjsonOutput_12.json,PASS,
03-06-2019,0609PM,FeeEnquiery_Disbursement,13,C:\ACorn\jsonPayload\03-06-2019_0608PM\testScenario_for_API__FeeEnquiery_Disbursement13.json,C:\ACorn\jsonOutput\03-06-2019_0608PM\FeeEnquiery_DisbursementjsonOutput_13.json,PASS,
03-06-2019,0609PM,FeeEnquiery_Disbursement,14,C:\ACorn\jsonPayload\03-06-2019_0608PM\testScenario_for_API__FeeEnquiery_Disbursement14.json,C:\ACorn\jsonOutput\03-06-2019_0608PM\FeeEnquiery_DisbursementjsonOutput_14.json,PASS,
03-06-2019,0609PM,FeeEnquiery_Disbursement,15,C:\ACorn\jsonPayload\03-06-2019_0608PM\testScenario_for_API__FeeEnquiery_Disbursement15.json,C:\ACorn\jsonOutput\03-06-2019_0608PM\FeeEnquiery_DisbursementjsonOutput_15.json,PASS,
03-06-2019,0609PM,FeeEnquiery_Disbursement,16,C:\ACorn\jsonPayload\03-06-2019_0608PM\testScenario_for_API__FeeEnquiery_Disbursement16.json,C:\ACorn\jsonOutput\03-06-2019_0608PM\FeeEnquiery_DisbursementjsonOutput_16.json,PASS,
03-06-2019,0609PM,FeeEnquiery_Disbursement,17,C:\ACorn\jsonPayload\03-06-2019_0608PM\testScenario_for_API__FeeEnquiery_Disbursement17.json,C:\ACorn\jsonOutput\03-06-2019_0608PM\FeeEnquiery_DisbursementjsonOutput_17.json,PASS,
