Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
04-01-2019,0555PM,ProductAccountMapping_create,1,C:\ACorn\jsonPayload\04-01-2019_0554PM\testScenario_for_API__ProductAccountMapping_create1.json,C:\ACorn\jsonOutput\04-01-2019_0554PM\ProductAccountMapping_createjsonOutput_1.json,PASS,
04-01-2019,0555PM,ProductAccountMapping_create,2,C:\ACorn\jsonPayload\04-01-2019_0554PM\testScenario_for_API__ProductAccountMapping_create2.json,C:\ACorn\jsonOutput\04-01-2019_0554PM\ProductAccountMapping_createjsonOutput_2.json,PASS,
04-01-2019,0555PM,ProductAccountMapping_create,3,C:\ACorn\jsonPayload\04-01-2019_0554PM\testScenario_for_API__ProductAccountMapping_create3.json,C:\ACorn\jsonOutput\04-01-2019_0554PM\ProductAccountMapping_createjsonOutput_3.json,PASS,
04-01-2019,0555PM,ProductAccountMapping_create,4,C:\ACorn\jsonPayload\04-01-2019_0554PM\testScenario_for_API__ProductAccountMapping_create4.json,C:\ACorn\jsonOutput\04-01-2019_0554PM\ProductAccountMapping_createjsonOutput_4.json,PASS,
04-01-2019,0555PM,ProductAccountMapping_create,5,C:\ACorn\jsonPayload\04-01-2019_0554PM\testScenario_for_API__ProductAccountMapping_create5.json,C:\ACorn\jsonOutput\04-01-2019_0554PM\ProductAccountMapping_createjsonOutput_5.json,PASS,
04-01-2019,0555PM,ProductAccountMapping_create,6,C:\ACorn\jsonPayload\04-01-2019_0554PM\testScenario_for_API__ProductAccountMapping_create6.json,C:\ACorn\jsonOutput\04-01-2019_0554PM\ProductAccountMapping_createjsonOutput_6.json,PASS,
04-01-2019,0555PM,ProductAccountMapping_create,7,C:\ACorn\jsonPayload\04-01-2019_0554PM\testScenario_for_API__ProductAccountMapping_create7.json,C:\ACorn\jsonOutput\04-01-2019_0554PM\ProductAccountMapping_createjsonOutput_7.json,PASS,
04-01-2019,0555PM,ProductAccountMapping_create,8,C:\ACorn\jsonPayload\04-01-2019_0554PM\testScenario_for_API__ProductAccountMapping_create8.json,C:\ACorn\jsonOutput\04-01-2019_0554PM\ProductAccountMapping_createjsonOutput_8.json,PASS,
04-01-2019,0555PM,ProductAccountMapping_create,9,C:\ACorn\jsonPayload\04-01-2019_0554PM\testScenario_for_API__ProductAccountMapping_create9.json,C:\ACorn\jsonOutput\04-01-2019_0554PM\ProductAccountMapping_createjsonOutput_9.json,PASS,
04-01-2019,0555PM,ProductAccountMapping_create,10,C:\ACorn\jsonPayload\04-01-2019_0554PM\testScenario_for_API__ProductAccountMapping_create10.json,C:\ACorn\jsonOutput\04-01-2019_0554PM\ProductAccountMapping_createjsonOutput_10.json,PASS,
04-01-2019,0555PM,ProductAccountMapping_create,11,C:\ACorn\jsonPayload\04-01-2019_0554PM\testScenario_for_API__ProductAccountMapping_create11.json,C:\ACorn\jsonOutput\04-01-2019_0554PM\ProductAccountMapping_createjsonOutput_11.json,PASS,
04-01-2019,0555PM,ProductAccountMapping_create,12,C:\ACorn\jsonPayload\04-01-2019_0554PM\testScenario_for_API__ProductAccountMapping_create12.json,C:\ACorn\jsonOutput\04-01-2019_0554PM\ProductAccountMapping_createjsonOutput_12.json,PASS,
04-01-2019,0556PM,ProductAccountMapping_create,13,C:\ACorn\jsonPayload\04-01-2019_0554PM\testScenario_for_API__ProductAccountMapping_create13.json,C:\ACorn\jsonOutput\04-01-2019_0554PM\ProductAccountMapping_createjsonOutput_13.json,PASS,
04-01-2019,0556PM,ProductAccountMapping_create,14,C:\ACorn\jsonPayload\04-01-2019_0554PM\testScenario_for_API__ProductAccountMapping_create14.json,C:\ACorn\jsonOutput\04-01-2019_0554PM\ProductAccountMapping_createjsonOutput_14.json,PASS,
04-01-2019,0556PM,ProductAccountMapping_create,15,C:\ACorn\jsonPayload\04-01-2019_0554PM\testScenario_for_API__ProductAccountMapping_create15.json,C:\ACorn\jsonOutput\04-01-2019_0554PM\ProductAccountMapping_createjsonOutput_15.json,PASS,
04-01-2019,0556PM,ProductAccountMapping_create,16,C:\ACorn\jsonPayload\04-01-2019_0554PM\testScenario_for_API__ProductAccountMapping_create16.json,C:\ACorn\jsonOutput\04-01-2019_0554PM\ProductAccountMapping_createjsonOutput_16.json,PASS,
