Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
06-07-2019,1214AM,FinalRepayment_withExactTwoInstallment,1,C:\ACorn\jsonPayload\06-07-2019_1213AM\testScenario_for_API__FinalRepayment_withExactTwoInstallment1.json,C:\ACorn\jsonOutput\06-07-2019_1213AM\FinalRepayment_withExactTwoInstallmentjsonOutput_1.json,FAIL,Actual response code received is 400
06-07-2019,1214AM,FinalRepayment_withExactTwoInstallment,2,C:\ACorn\jsonPayload\06-07-2019_1213AM\testScenario_for_API__FinalRepayment_withExactTwoInstallment2.json,C:\ACorn\jsonOutput\06-07-2019_1213AM\FinalRepayment_withExactTwoInstallmentjsonOutput_2.json,FAIL,Actual response code received is 400
06-07-2019,1214AM,FinalRepayment_withExactTwoInstallment,3,C:\ACorn\jsonPayload\06-07-2019_1213AM\testScenario_for_API__FinalRepayment_withExactTwoInstallment3.json,C:\ACorn\jsonOutput\06-07-2019_1213AM\FinalRepayment_withExactTwoInstallmentjsonOutput_3.json,FAIL,Actual response code received is 400
06-07-2019,1214AM,FinalRepayment_withExactTwoInstallment,4,C:\ACorn\jsonPayload\06-07-2019_1213AM\testScenario_for_API__FinalRepayment_withExactTwoInstallment4.json,C:\ACorn\jsonOutput\06-07-2019_1213AM\FinalRepayment_withExactTwoInstallmentjsonOutput_4.json,FAIL,Actual response code received is 400
06-07-2019,1214AM,FinalRepayment_withExactTwoInstallment,5,C:\ACorn\jsonPayload\06-07-2019_1213AM\testScenario_for_API__FinalRepayment_withExactTwoInstallment5.json,C:\ACorn\jsonOutput\06-07-2019_1213AM\FinalRepayment_withExactTwoInstallmentjsonOutput_5.json,FAIL,Actual response code received is 400
06-07-2019,1214AM,FinalRepayment_withExactTwoInstallment,6,C:\ACorn\jsonPayload\06-07-2019_1213AM\testScenario_for_API__FinalRepayment_withExactTwoInstallment6.json,C:\ACorn\jsonOutput\06-07-2019_1213AM\FinalRepayment_withExactTwoInstallmentjsonOutput_6.json,FAIL,Actual response code received is 400
06-07-2019,1214AM,FinalRepayment_withExactTwoInstallment,7,C:\ACorn\jsonPayload\06-07-2019_1213AM\testScenario_for_API__FinalRepayment_withExactTwoInstallment7.json,C:\ACorn\jsonOutput\06-07-2019_1213AM\FinalRepayment_withExactTwoInstallmentjsonOutput_7.json,FAIL,Actual response code received is 400
06-07-2019,1214AM,FinalRepayment_withExactTwoInstallment,8,C:\ACorn\jsonPayload\06-07-2019_1213AM\testScenario_for_API__FinalRepayment_withExactTwoInstallment8.json,C:\ACorn\jsonOutput\06-07-2019_1213AM\FinalRepayment_withExactTwoInstallmentjsonOutput_8.json,FAIL,Actual response code received is 400
06-07-2019,1214AM,FinalRepayment_withExactTwoInstallment,9,C:\ACorn\jsonPayload\06-07-2019_1213AM\testScenario_for_API__FinalRepayment_withExactTwoInstallment9.json,C:\ACorn\jsonOutput\06-07-2019_1213AM\FinalRepayment_withExactTwoInstallmentjsonOutput_9.json,FAIL,Actual response code received is 400
06-07-2019,1214AM,FinalRepayment_withExactTwoInstallment,10,C:\ACorn\jsonPayload\06-07-2019_1213AM\testScenario_for_API__FinalRepayment_withExactTwoInstallment10.json,C:\ACorn\jsonOutput\06-07-2019_1213AM\FinalRepayment_withExactTwoInstallmentjsonOutput_10.json,FAIL,Actual response code received is 400
06-07-2019,1214AM,FinalRepayment_withExactTwoInstallment,11,C:\ACorn\jsonPayload\06-07-2019_1213AM\testScenario_for_API__FinalRepayment_withExactTwoInstallment11.json,C:\ACorn\jsonOutput\06-07-2019_1213AM\FinalRepayment_withExactTwoInstallmentjsonOutput_11.json,FAIL,Actual response code received is 400
06-07-2019,1214AM,FinalRepayment_withExactTwoInstallment,12,C:\ACorn\jsonPayload\06-07-2019_1213AM\testScenario_for_API__FinalRepayment_withExactTwoInstallment12.json,C:\ACorn\jsonOutput\06-07-2019_1213AM\FinalRepayment_withExactTwoInstallmentjsonOutput_12.json,FAIL,Actual response code received is 400
06-07-2019,1214AM,FinalRepayment_withExactTwoInstallment,13,C:\ACorn\jsonPayload\06-07-2019_1213AM\testScenario_for_API__FinalRepayment_withExactTwoInstallment13.json,C:\ACorn\jsonOutput\06-07-2019_1213AM\FinalRepayment_withExactTwoInstallmentjsonOutput_13.json,FAIL,Actual response code received is 400
