Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
08-05-2019,0249PM,LoanAccountApprove_repayment,1,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment1.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_1.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,2,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment2.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_2.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,3,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment3.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_3.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,4,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment4.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_4.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,5,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment5.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_5.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,6,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment6.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_6.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,7,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment7.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_7.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,8,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment8.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_8.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,9,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment9.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_9.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,10,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment10.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_10.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,11,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment11.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_11.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,12,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment12.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_12.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,13,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment13.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_13.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,14,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment14.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_14.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,15,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment15.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_15.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,16,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment16.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_16.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,17,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment17.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_17.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,18,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment18.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_18.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,19,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment19.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_19.json,PASS,
08-05-2019,0249PM,LoanAccountApprove_repayment,20,C:\ACorn\jsonPayload\08-05-2019_0248PM\testScenario_for_API__LoanAccountApprove_repayment20.json,C:\ACorn\jsonOutput\08-05-2019_0248PM\LoanAccountApprove_repaymentjsonOutput_20.json,PASS,
