Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
14-05-2019,0247PM,InterestRollup_Batch,1,,C:\ACorn\jsonOutput\14-05-2019_0246PM\InterestRollup_BatchjsonOutput_1.json,PASS,
14-05-2019,0247PM,InterestRollup_Batch,2,,C:\ACorn\jsonOutput\14-05-2019_0246PM\InterestRollup_BatchjsonOutput_2.json,PASS,
14-05-2019,0247PM,InterestRollup_Batch,3,,C:\ACorn\jsonOutput\14-05-2019_0246PM\InterestRollup_BatchjsonOutput_3.json,PASS,
14-05-2019,0247PM,InterestRollup_Batch,4,,C:\ACorn\jsonOutput\14-05-2019_0246PM\InterestRollup_BatchjsonOutput_4.json,PASS,
14-05-2019,0247PM,InterestRollup_Batch,5,,C:\ACorn\jsonOutput\14-05-2019_0246PM\InterestRollup_BatchjsonOutput_5.json,PASS,
14-05-2019,0247PM,InterestRollup_Batch,6,,C:\ACorn\jsonOutput\14-05-2019_0246PM\InterestRollup_BatchjsonOutput_6.json,PASS,
14-05-2019,0247PM,InterestRollup_Batch,7,,C:\ACorn\jsonOutput\14-05-2019_0246PM\InterestRollup_BatchjsonOutput_7.json,PASS,
14-05-2019,0247PM,InterestRollup_Batch,8,,C:\ACorn\jsonOutput\14-05-2019_0246PM\InterestRollup_BatchjsonOutput_8.json,PASS,
14-05-2019,0247PM,InterestRollup_Batch,9,,C:\ACorn\jsonOutput\14-05-2019_0246PM\InterestRollup_BatchjsonOutput_9.json,PASS,
14-05-2019,0247PM,InterestRollup_Batch,10,,C:\ACorn\jsonOutput\14-05-2019_0246PM\InterestRollup_BatchjsonOutput_10.json,PASS,
14-05-2019,0247PM,InterestRollup_Batch,11,,C:\ACorn\jsonOutput\14-05-2019_0246PM\InterestRollup_BatchjsonOutput_11.json,PASS,
14-05-2019,0247PM,InterestRollup_Batch,12,,C:\ACorn\jsonOutput\14-05-2019_0246PM\InterestRollup_BatchjsonOutput_12.json,PASS,
14-05-2019,0247PM,InterestRollup_Batch,13,,C:\ACorn\jsonOutput\14-05-2019_0246PM\InterestRollup_BatchjsonOutput_13.json,PASS,
