Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
17-05-2019,0129AM,PeriodicFee_create,1,C:\ACorn\jsonPayload\17-05-2019_0129AM\testScenario_for_API__PeriodicFee_create1.json,C:\ACorn\jsonOutput\17-05-2019_0129AM\PeriodicFee_createjsonOutput_1.json,PASS,
17-05-2019,0129AM,PeriodicFee_create,2,C:\ACorn\jsonPayload\17-05-2019_0129AM\testScenario_for_API__PeriodicFee_create2.json,C:\ACorn\jsonOutput\17-05-2019_0129AM\PeriodicFee_createjsonOutput_2.json,PASS,
17-05-2019,0129AM,PeriodicFee_create,3,C:\ACorn\jsonPayload\17-05-2019_0129AM\testScenario_for_API__PeriodicFee_create3.json,C:\ACorn\jsonOutput\17-05-2019_0129AM\PeriodicFee_createjsonOutput_3.json,PASS,
17-05-2019,0129AM,PeriodicFee_create,4,C:\ACorn\jsonPayload\17-05-2019_0129AM\testScenario_for_API__PeriodicFee_create4.json,C:\ACorn\jsonOutput\17-05-2019_0129AM\PeriodicFee_createjsonOutput_4.json,PASS,
17-05-2019,0129AM,PeriodicFee_create,5,C:\ACorn\jsonPayload\17-05-2019_0129AM\testScenario_for_API__PeriodicFee_create5.json,C:\ACorn\jsonOutput\17-05-2019_0129AM\PeriodicFee_createjsonOutput_5.json,PASS,
17-05-2019,0129AM,PeriodicFee_create,6,C:\ACorn\jsonPayload\17-05-2019_0129AM\testScenario_for_API__PeriodicFee_create6.json,C:\ACorn\jsonOutput\17-05-2019_0129AM\PeriodicFee_createjsonOutput_6.json,PASS,
17-05-2019,0129AM,PeriodicFee_create,7,C:\ACorn\jsonPayload\17-05-2019_0129AM\testScenario_for_API__PeriodicFee_create7.json,C:\ACorn\jsonOutput\17-05-2019_0129AM\PeriodicFee_createjsonOutput_7.json,PASS,
17-05-2019,0129AM,PeriodicFee_create,8,C:\ACorn\jsonPayload\17-05-2019_0129AM\testScenario_for_API__PeriodicFee_create8.json,C:\ACorn\jsonOutput\17-05-2019_0129AM\PeriodicFee_createjsonOutput_8.json,PASS,
17-05-2019,0129AM,PeriodicFee_create,9,C:\ACorn\jsonPayload\17-05-2019_0129AM\testScenario_for_API__PeriodicFee_create9.json,C:\ACorn\jsonOutput\17-05-2019_0129AM\PeriodicFee_createjsonOutput_9.json,PASS,
17-05-2019,0129AM,PeriodicFee_create,10,C:\ACorn\jsonPayload\17-05-2019_0129AM\testScenario_for_API__PeriodicFee_create10.json,C:\ACorn\jsonOutput\17-05-2019_0129AM\PeriodicFee_createjsonOutput_10.json,PASS,
17-05-2019,0129AM,PeriodicFee_create,11,C:\ACorn\jsonPayload\17-05-2019_0129AM\testScenario_for_API__PeriodicFee_create11.json,C:\ACorn\jsonOutput\17-05-2019_0129AM\PeriodicFee_createjsonOutput_11.json,PASS,
17-05-2019,0129AM,PeriodicFee_create,12,C:\ACorn\jsonPayload\17-05-2019_0129AM\testScenario_for_API__PeriodicFee_create12.json,C:\ACorn\jsonOutput\17-05-2019_0129AM\PeriodicFee_createjsonOutput_12.json,PASS,
17-05-2019,0129AM,PeriodicFee_create,13,C:\ACorn\jsonPayload\17-05-2019_0129AM\testScenario_for_API__PeriodicFee_create13.json,C:\ACorn\jsonOutput\17-05-2019_0129AM\PeriodicFee_createjsonOutput_13.json,PASS,
17-05-2019,0130AM,PeriodicFee_create,14,C:\ACorn\jsonPayload\17-05-2019_0129AM\testScenario_for_API__PeriodicFee_create14.json,C:\ACorn\jsonOutput\17-05-2019_0129AM\PeriodicFee_createjsonOutput_14.json,PASS,
17-05-2019,0130AM,PeriodicFee_create,15,C:\ACorn\jsonPayload\17-05-2019_0129AM\testScenario_for_API__PeriodicFee_create15.json,C:\ACorn\jsonOutput\17-05-2019_0129AM\PeriodicFee_createjsonOutput_15.json,PASS,
17-05-2019,0130AM,PeriodicFee_create,16,C:\ACorn\jsonPayload\17-05-2019_0129AM\testScenario_for_API__PeriodicFee_create16.json,C:\ACorn\jsonOutput\17-05-2019_0129AM\PeriodicFee_createjsonOutput_16.json,PASS,
17-05-2019,0130AM,PeriodicFee_create,17,C:\ACorn\jsonPayload\17-05-2019_0129AM\testScenario_for_API__PeriodicFee_create17.json,C:\ACorn\jsonOutput\17-05-2019_0129AM\PeriodicFee_createjsonOutput_17.json,PASS,
17-05-2019,0130AM,PeriodicFee_create,18,C:\ACorn\jsonPayload\17-05-2019_0129AM\testScenario_for_API__PeriodicFee_create18.json,C:\ACorn\jsonOutput\17-05-2019_0129AM\PeriodicFee_createjsonOutput_18.json,PASS,
