Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
17-05-2019,0140AM,PeriodicFee_Approve,1,C:\ACorn\jsonPayload\17-05-2019_0140AM\testScenario_for_API__PeriodicFee_Approve1.json,C:\ACorn\jsonOutput\17-05-2019_0140AM\PeriodicFee_ApprovejsonOutput_1.json,PASS,
17-05-2019,0141AM,PeriodicFee_Approve,2,C:\ACorn\jsonPayload\17-05-2019_0140AM\testScenario_for_API__PeriodicFee_Approve2.json,C:\ACorn\jsonOutput\17-05-2019_0140AM\PeriodicFee_ApprovejsonOutput_2.json,PASS,
17-05-2019,0141AM,PeriodicFee_Approve,3,C:\ACorn\jsonPayload\17-05-2019_0140AM\testScenario_for_API__PeriodicFee_Approve3.json,C:\ACorn\jsonOutput\17-05-2019_0140AM\PeriodicFee_ApprovejsonOutput_3.json,PASS,
17-05-2019,0141AM,PeriodicFee_Approve,4,C:\ACorn\jsonPayload\17-05-2019_0140AM\testScenario_for_API__PeriodicFee_Approve4.json,C:\ACorn\jsonOutput\17-05-2019_0140AM\PeriodicFee_ApprovejsonOutput_4.json,PASS,
17-05-2019,0141AM,PeriodicFee_Approve,5,C:\ACorn\jsonPayload\17-05-2019_0140AM\testScenario_for_API__PeriodicFee_Approve5.json,C:\ACorn\jsonOutput\17-05-2019_0140AM\PeriodicFee_ApprovejsonOutput_5.json,PASS,
17-05-2019,0141AM,PeriodicFee_Approve,6,C:\ACorn\jsonPayload\17-05-2019_0140AM\testScenario_for_API__PeriodicFee_Approve6.json,C:\ACorn\jsonOutput\17-05-2019_0140AM\PeriodicFee_ApprovejsonOutput_6.json,PASS,
17-05-2019,0141AM,PeriodicFee_Approve,7,C:\ACorn\jsonPayload\17-05-2019_0140AM\testScenario_for_API__PeriodicFee_Approve7.json,C:\ACorn\jsonOutput\17-05-2019_0140AM\PeriodicFee_ApprovejsonOutput_7.json,PASS,
17-05-2019,0141AM,PeriodicFee_Approve,8,C:\ACorn\jsonPayload\17-05-2019_0140AM\testScenario_for_API__PeriodicFee_Approve8.json,C:\ACorn\jsonOutput\17-05-2019_0140AM\PeriodicFee_ApprovejsonOutput_8.json,PASS,
17-05-2019,0141AM,PeriodicFee_Approve,9,C:\ACorn\jsonPayload\17-05-2019_0140AM\testScenario_for_API__PeriodicFee_Approve9.json,C:\ACorn\jsonOutput\17-05-2019_0140AM\PeriodicFee_ApprovejsonOutput_9.json,PASS,
17-05-2019,0141AM,PeriodicFee_Approve,10,C:\ACorn\jsonPayload\17-05-2019_0140AM\testScenario_for_API__PeriodicFee_Approve10.json,C:\ACorn\jsonOutput\17-05-2019_0140AM\PeriodicFee_ApprovejsonOutput_10.json,PASS,
17-05-2019,0141AM,PeriodicFee_Approve,11,C:\ACorn\jsonPayload\17-05-2019_0140AM\testScenario_for_API__PeriodicFee_Approve11.json,C:\ACorn\jsonOutput\17-05-2019_0140AM\PeriodicFee_ApprovejsonOutput_11.json,PASS,
17-05-2019,0141AM,PeriodicFee_Approve,12,C:\ACorn\jsonPayload\17-05-2019_0140AM\testScenario_for_API__PeriodicFee_Approve12.json,C:\ACorn\jsonOutput\17-05-2019_0140AM\PeriodicFee_ApprovejsonOutput_12.json,PASS,
17-05-2019,0141AM,PeriodicFee_Approve,13,C:\ACorn\jsonPayload\17-05-2019_0140AM\testScenario_for_API__PeriodicFee_Approve13.json,C:\ACorn\jsonOutput\17-05-2019_0140AM\PeriodicFee_ApprovejsonOutput_13.json,PASS,
17-05-2019,0141AM,PeriodicFee_Approve,14,C:\ACorn\jsonPayload\17-05-2019_0140AM\testScenario_for_API__PeriodicFee_Approve14.json,C:\ACorn\jsonOutput\17-05-2019_0140AM\PeriodicFee_ApprovejsonOutput_14.json,PASS,
17-05-2019,0141AM,PeriodicFee_Approve,15,C:\ACorn\jsonPayload\17-05-2019_0140AM\testScenario_for_API__PeriodicFee_Approve15.json,C:\ACorn\jsonOutput\17-05-2019_0140AM\PeriodicFee_ApprovejsonOutput_15.json,PASS,
17-05-2019,0141AM,PeriodicFee_Approve,16,C:\ACorn\jsonPayload\17-05-2019_0140AM\testScenario_for_API__PeriodicFee_Approve16.json,C:\ACorn\jsonOutput\17-05-2019_0140AM\PeriodicFee_ApprovejsonOutput_16.json,PASS,
17-05-2019,0141AM,PeriodicFee_Approve,17,C:\ACorn\jsonPayload\17-05-2019_0140AM\testScenario_for_API__PeriodicFee_Approve17.json,C:\ACorn\jsonOutput\17-05-2019_0140AM\PeriodicFee_ApprovejsonOutput_17.json,PASS,
17-05-2019,0141AM,PeriodicFee_Approve,18,C:\ACorn\jsonPayload\17-05-2019_0140AM\testScenario_for_API__PeriodicFee_Approve18.json,C:\ACorn\jsonOutput\17-05-2019_0140AM\PeriodicFee_ApprovejsonOutput_18.json,PASS,
