Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
17-05-2019,0208AM,PeriodicFee_Active,1,C:\ACorn\jsonPayload\17-05-2019_0207AM\testScenario_for_API__PeriodicFee_Active1.json,C:\ACorn\jsonOutput\17-05-2019_0207AM\PeriodicFee_ActivejsonOutput_1.json,PASS,
17-05-2019,0208AM,PeriodicFee_Active,2,C:\ACorn\jsonPayload\17-05-2019_0207AM\testScenario_for_API__PeriodicFee_Active2.json,C:\ACorn\jsonOutput\17-05-2019_0207AM\PeriodicFee_ActivejsonOutput_2.json,PASS,
17-05-2019,0208AM,PeriodicFee_Active,3,C:\ACorn\jsonPayload\17-05-2019_0207AM\testScenario_for_API__PeriodicFee_Active3.json,C:\ACorn\jsonOutput\17-05-2019_0207AM\PeriodicFee_ActivejsonOutput_3.json,PASS,
17-05-2019,0208AM,PeriodicFee_Active,4,C:\ACorn\jsonPayload\17-05-2019_0207AM\testScenario_for_API__PeriodicFee_Active4.json,C:\ACorn\jsonOutput\17-05-2019_0207AM\PeriodicFee_ActivejsonOutput_4.json,PASS,
17-05-2019,0208AM,PeriodicFee_Active,5,C:\ACorn\jsonPayload\17-05-2019_0207AM\testScenario_for_API__PeriodicFee_Active5.json,C:\ACorn\jsonOutput\17-05-2019_0207AM\PeriodicFee_ActivejsonOutput_5.json,PASS,
17-05-2019,0208AM,PeriodicFee_Active,6,C:\ACorn\jsonPayload\17-05-2019_0207AM\testScenario_for_API__PeriodicFee_Active6.json,C:\ACorn\jsonOutput\17-05-2019_0207AM\PeriodicFee_ActivejsonOutput_6.json,PASS,
17-05-2019,0208AM,PeriodicFee_Active,7,C:\ACorn\jsonPayload\17-05-2019_0207AM\testScenario_for_API__PeriodicFee_Active7.json,C:\ACorn\jsonOutput\17-05-2019_0207AM\PeriodicFee_ActivejsonOutput_7.json,PASS,
17-05-2019,0208AM,PeriodicFee_Active,8,C:\ACorn\jsonPayload\17-05-2019_0207AM\testScenario_for_API__PeriodicFee_Active8.json,C:\ACorn\jsonOutput\17-05-2019_0207AM\PeriodicFee_ActivejsonOutput_8.json,PASS,
17-05-2019,0208AM,PeriodicFee_Active,9,C:\ACorn\jsonPayload\17-05-2019_0207AM\testScenario_for_API__PeriodicFee_Active9.json,C:\ACorn\jsonOutput\17-05-2019_0207AM\PeriodicFee_ActivejsonOutput_9.json,PASS,
17-05-2019,0208AM,PeriodicFee_Active,10,C:\ACorn\jsonPayload\17-05-2019_0207AM\testScenario_for_API__PeriodicFee_Active10.json,C:\ACorn\jsonOutput\17-05-2019_0207AM\PeriodicFee_ActivejsonOutput_10.json,PASS,
17-05-2019,0208AM,PeriodicFee_Active,11,C:\ACorn\jsonPayload\17-05-2019_0207AM\testScenario_for_API__PeriodicFee_Active11.json,C:\ACorn\jsonOutput\17-05-2019_0207AM\PeriodicFee_ActivejsonOutput_11.json,PASS,
17-05-2019,0208AM,PeriodicFee_Active,12,C:\ACorn\jsonPayload\17-05-2019_0207AM\testScenario_for_API__PeriodicFee_Active12.json,C:\ACorn\jsonOutput\17-05-2019_0207AM\PeriodicFee_ActivejsonOutput_12.json,PASS,
17-05-2019,0208AM,PeriodicFee_Active,13,C:\ACorn\jsonPayload\17-05-2019_0207AM\testScenario_for_API__PeriodicFee_Active13.json,C:\ACorn\jsonOutput\17-05-2019_0207AM\PeriodicFee_ActivejsonOutput_13.json,PASS,
17-05-2019,0209AM,PeriodicFee_Active,14,C:\ACorn\jsonPayload\17-05-2019_0207AM\testScenario_for_API__PeriodicFee_Active14.json,C:\ACorn\jsonOutput\17-05-2019_0207AM\PeriodicFee_ActivejsonOutput_14.json,PASS,
17-05-2019,0209AM,PeriodicFee_Active,15,C:\ACorn\jsonPayload\17-05-2019_0207AM\testScenario_for_API__PeriodicFee_Active15.json,C:\ACorn\jsonOutput\17-05-2019_0207AM\PeriodicFee_ActivejsonOutput_15.json,PASS,
