Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
18-06-2019,1118AM,Prepayment_loanCreation_periodic,1,C:\ACorn\jsonPayload\18-06-2019_1118AM\testScenario_for_API__Prepayment_loanCreation_periodic1.json,C:\ACorn\jsonOutput\18-06-2019_1118AM\Prepayment_loanCreation_periodicjsonOutput_1.json,FAIL,Actual response code received is 403
18-06-2019,1118AM,Prepayment_loanCreation_periodic,2,C:\ACorn\jsonPayload\18-06-2019_1118AM\testScenario_for_API__Prepayment_loanCreation_periodic2.json,C:\ACorn\jsonOutput\18-06-2019_1118AM\Prepayment_loanCreation_periodicjsonOutput_2.json,FAIL,Actual response code received is 403
18-06-2019,1118AM,Prepayment_loanCreation_periodic,3,C:\ACorn\jsonPayload\18-06-2019_1118AM\testScenario_for_API__Prepayment_loanCreation_periodic3.json,C:\ACorn\jsonOutput\18-06-2019_1118AM\Prepayment_loanCreation_periodicjsonOutput_3.json,FAIL,Actual response code received is 403
18-06-2019,1119AM,Prepayment_loanCreation_periodic,4,C:\ACorn\jsonPayload\18-06-2019_1118AM\testScenario_for_API__Prepayment_loanCreation_periodic4.json,C:\ACorn\jsonOutput\18-06-2019_1118AM\Prepayment_loanCreation_periodicjsonOutput_4.json,FAIL,Actual response code received is 403
18-06-2019,1119AM,Prepayment_loanCreation_periodic,5,C:\ACorn\jsonPayload\18-06-2019_1118AM\testScenario_for_API__Prepayment_loanCreation_periodic5.json,C:\ACorn\jsonOutput\18-06-2019_1118AM\Prepayment_loanCreation_periodicjsonOutput_5.json,FAIL,Actual response code received is 403
18-06-2019,1119AM,Prepayment_loanCreation_periodic,6,C:\ACorn\jsonPayload\18-06-2019_1118AM\testScenario_for_API__Prepayment_loanCreation_periodic6.json,C:\ACorn\jsonOutput\18-06-2019_1118AM\Prepayment_loanCreation_periodicjsonOutput_6.json,FAIL,Actual response code received is 403
18-06-2019,1119AM,Prepayment_loanCreation_periodic,7,C:\ACorn\jsonPayload\18-06-2019_1118AM\testScenario_for_API__Prepayment_loanCreation_periodic7.json,C:\ACorn\jsonOutput\18-06-2019_1118AM\Prepayment_loanCreation_periodicjsonOutput_7.json,FAIL,Actual response code received is 403
18-06-2019,1119AM,Prepayment_loanCreation_periodic,8,C:\ACorn\jsonPayload\18-06-2019_1118AM\testScenario_for_API__Prepayment_loanCreation_periodic8.json,C:\ACorn\jsonOutput\18-06-2019_1118AM\Prepayment_loanCreation_periodicjsonOutput_8.json,FAIL,Actual response code received is 403
18-06-2019,1119AM,Prepayment_loanCreation_periodic,9,C:\ACorn\jsonPayload\18-06-2019_1118AM\testScenario_for_API__Prepayment_loanCreation_periodic9.json,C:\ACorn\jsonOutput\18-06-2019_1118AM\Prepayment_loanCreation_periodicjsonOutput_9.json,FAIL,Actual response code received is 403
18-06-2019,1119AM,Prepayment_loanCreation_periodic,10,C:\ACorn\jsonPayload\18-06-2019_1118AM\testScenario_for_API__Prepayment_loanCreation_periodic10.json,C:\ACorn\jsonOutput\18-06-2019_1118AM\Prepayment_loanCreation_periodicjsonOutput_10.json,FAIL,Actual response code received is 403
18-06-2019,1119AM,Prepayment_loanCreation_periodic,11,C:\ACorn\jsonPayload\18-06-2019_1118AM\testScenario_for_API__Prepayment_loanCreation_periodic11.json,C:\ACorn\jsonOutput\18-06-2019_1118AM\Prepayment_loanCreation_periodicjsonOutput_11.json,FAIL,Actual response code received is 403
