Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
18-07-2019,0238PM,Prepayment_Disbursement,1,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement1.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_1.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,2,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement2.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_2.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,3,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement3.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_3.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,4,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement4.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_4.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,5,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement5.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_5.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,6,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement6.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_6.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,7,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement7.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_7.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,8,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement8.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_8.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,9,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement9.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_9.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,10,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement10.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_10.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,11,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement11.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_11.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,12,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement12.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_12.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,13,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement13.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_13.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,14,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement14.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_14.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,15,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement15.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_15.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,16,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement16.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_16.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,17,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement17.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_17.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,18,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement18.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_18.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,19,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement19.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_19.json,FAIL,Actual response code received is 400
18-07-2019,0238PM,Prepayment_Disbursement,20,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement20.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_20.json,FAIL,Actual response code received is 400
18-07-2019,0239PM,Prepayment_Disbursement,21,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement21.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_21.json,FAIL,Actual response code received is 400
18-07-2019,0239PM,Prepayment_Disbursement,22,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement22.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_22.json,FAIL,Actual response code received is 400
18-07-2019,0239PM,Prepayment_Disbursement,23,C:\ACorn\jsonPayload\18-07-2019_0238PM\testScenario_for_API__Prepayment_Disbursement23.json,C:\ACorn\jsonOutput\18-07-2019_0238PM\Prepayment_DisbursementjsonOutput_23.json,FAIL,Actual response code received is 400
