Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
19-06-2019,1243PM,ReversalLoanCreation_withFees,1,C:\ACorn\jsonPayload\19-06-2019_1243PM\testScenario_for_API__ReversalLoanCreation_withFees1.json,C:\ACorn\jsonOutput\19-06-2019_1243PM\ReversalLoanCreation_withFeesjsonOutput_1.json,PASS,
19-06-2019,1243PM,ReversalLoanCreation_withFees,2,C:\ACorn\jsonPayload\19-06-2019_1243PM\testScenario_for_API__ReversalLoanCreation_withFees2.json,C:\ACorn\jsonOutput\19-06-2019_1243PM\ReversalLoanCreation_withFeesjsonOutput_2.json,PASS,
19-06-2019,1243PM,ReversalLoanCreation_withFees,3,C:\ACorn\jsonPayload\19-06-2019_1243PM\testScenario_for_API__ReversalLoanCreation_withFees3.json,C:\ACorn\jsonOutput\19-06-2019_1243PM\ReversalLoanCreation_withFeesjsonOutput_3.json,PASS,
19-06-2019,1243PM,ReversalLoanCreation_withFees,4,C:\ACorn\jsonPayload\19-06-2019_1243PM\testScenario_for_API__ReversalLoanCreation_withFees4.json,C:\ACorn\jsonOutput\19-06-2019_1243PM\ReversalLoanCreation_withFeesjsonOutput_4.json,PASS,
19-06-2019,1243PM,ReversalLoanCreation_withFees,5,C:\ACorn\jsonPayload\19-06-2019_1243PM\testScenario_for_API__ReversalLoanCreation_withFees5.json,C:\ACorn\jsonOutput\19-06-2019_1243PM\ReversalLoanCreation_withFeesjsonOutput_5.json,PASS,
19-06-2019,1243PM,ReversalLoanCreation_withFees,6,C:\ACorn\jsonPayload\19-06-2019_1243PM\testScenario_for_API__ReversalLoanCreation_withFees6.json,C:\ACorn\jsonOutput\19-06-2019_1243PM\ReversalLoanCreation_withFeesjsonOutput_6.json,PASS,
19-06-2019,1243PM,ReversalLoanCreation_withFees,7,C:\ACorn\jsonPayload\19-06-2019_1243PM\testScenario_for_API__ReversalLoanCreation_withFees7.json,C:\ACorn\jsonOutput\19-06-2019_1243PM\ReversalLoanCreation_withFeesjsonOutput_7.json,PASS,
19-06-2019,1243PM,ReversalLoanCreation_withFees,8,C:\ACorn\jsonPayload\19-06-2019_1243PM\testScenario_for_API__ReversalLoanCreation_withFees8.json,C:\ACorn\jsonOutput\19-06-2019_1243PM\ReversalLoanCreation_withFeesjsonOutput_8.json,FAIL,Actual response code received is 400
19-06-2019,1243PM,ReversalLoanCreation_withFees,9,C:\ACorn\jsonPayload\19-06-2019_1243PM\testScenario_for_API__ReversalLoanCreation_withFees9.json,C:\ACorn\jsonOutput\19-06-2019_1243PM\ReversalLoanCreation_withFeesjsonOutput_9.json,PASS,
19-06-2019,1243PM,ReversalLoanCreation_withFees,10,C:\ACorn\jsonPayload\19-06-2019_1243PM\testScenario_for_API__ReversalLoanCreation_withFees10.json,C:\ACorn\jsonOutput\19-06-2019_1243PM\ReversalLoanCreation_withFeesjsonOutput_10.json,PASS,
19-06-2019,1243PM,ReversalLoanCreation_withFees,11,C:\ACorn\jsonPayload\19-06-2019_1243PM\testScenario_for_API__ReversalLoanCreation_withFees11.json,C:\ACorn\jsonOutput\19-06-2019_1243PM\ReversalLoanCreation_withFeesjsonOutput_11.json,PASS,
19-06-2019,1243PM,ReversalLoanCreation_withFees,12,C:\ACorn\jsonPayload\19-06-2019_1243PM\testScenario_for_API__ReversalLoanCreation_withFees12.json,C:\ACorn\jsonOutput\19-06-2019_1243PM\ReversalLoanCreation_withFeesjsonOutput_12.json,PASS,
