Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
22-05-2019,0608PM,Repayment_Disbursement,1,C:\ACorn\jsonPayload\22-05-2019_0607PM\testScenario_for_API__Repayment_Disbursement1.json,C:\ACorn\jsonOutput\22-05-2019_0607PM\Repayment_DisbursementjsonOutput_1.json,PASS,
22-05-2019,0608PM,Repayment_Disbursement,2,C:\ACorn\jsonPayload\22-05-2019_0607PM\testScenario_for_API__Repayment_Disbursement2.json,C:\ACorn\jsonOutput\22-05-2019_0607PM\Repayment_DisbursementjsonOutput_2.json,PASS,
22-05-2019,0608PM,Repayment_Disbursement,3,C:\ACorn\jsonPayload\22-05-2019_0607PM\testScenario_for_API__Repayment_Disbursement3.json,C:\ACorn\jsonOutput\22-05-2019_0607PM\Repayment_DisbursementjsonOutput_3.json,PASS,
22-05-2019,0608PM,Repayment_Disbursement,4,C:\ACorn\jsonPayload\22-05-2019_0607PM\testScenario_for_API__Repayment_Disbursement4.json,C:\ACorn\jsonOutput\22-05-2019_0607PM\Repayment_DisbursementjsonOutput_4.json,PASS,
22-05-2019,0608PM,Repayment_Disbursement,5,C:\ACorn\jsonPayload\22-05-2019_0607PM\testScenario_for_API__Repayment_Disbursement5.json,C:\ACorn\jsonOutput\22-05-2019_0607PM\Repayment_DisbursementjsonOutput_5.json,PASS,
22-05-2019,0608PM,Repayment_Disbursement,6,C:\ACorn\jsonPayload\22-05-2019_0607PM\testScenario_for_API__Repayment_Disbursement6.json,C:\ACorn\jsonOutput\22-05-2019_0607PM\Repayment_DisbursementjsonOutput_6.json,PASS,
22-05-2019,0608PM,Repayment_Disbursement,7,C:\ACorn\jsonPayload\22-05-2019_0607PM\testScenario_for_API__Repayment_Disbursement7.json,C:\ACorn\jsonOutput\22-05-2019_0607PM\Repayment_DisbursementjsonOutput_7.json,PASS,
22-05-2019,0608PM,Repayment_Disbursement,8,C:\ACorn\jsonPayload\22-05-2019_0607PM\testScenario_for_API__Repayment_Disbursement8.json,C:\ACorn\jsonOutput\22-05-2019_0607PM\Repayment_DisbursementjsonOutput_8.json,PASS,
22-05-2019,0608PM,Repayment_Disbursement,9,C:\ACorn\jsonPayload\22-05-2019_0607PM\testScenario_for_API__Repayment_Disbursement9.json,C:\ACorn\jsonOutput\22-05-2019_0607PM\Repayment_DisbursementjsonOutput_9.json,PASS,
22-05-2019,0608PM,Repayment_Disbursement,10,C:\ACorn\jsonPayload\22-05-2019_0607PM\testScenario_for_API__Repayment_Disbursement10.json,C:\ACorn\jsonOutput\22-05-2019_0607PM\Repayment_DisbursementjsonOutput_10.json,PASS,
22-05-2019,0608PM,Repayment_Disbursement,11,C:\ACorn\jsonPayload\22-05-2019_0607PM\testScenario_for_API__Repayment_Disbursement11.json,C:\ACorn\jsonOutput\22-05-2019_0607PM\Repayment_DisbursementjsonOutput_11.json,PASS,
22-05-2019,0608PM,Repayment_Disbursement,12,C:\ACorn\jsonPayload\22-05-2019_0607PM\testScenario_for_API__Repayment_Disbursement12.json,C:\ACorn\jsonOutput\22-05-2019_0607PM\Repayment_DisbursementjsonOutput_12.json,PASS,
