Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
23-05-2019,0530PM,FinalRepayment_withExactTwoInstallment,1,C:\ACorn\jsonPayload\23-05-2019_0530PM\testScenario_for_API__FinalRepayment_withExactTwoInstallment1.json,C:\ACorn\jsonOutput\23-05-2019_0530PM\FinalRepayment_withExactTwoInstallmentjsonOutput_1.json,PASS,
23-05-2019,0530PM,FinalRepayment_withExactTwoInstallment,2,C:\ACorn\jsonPayload\23-05-2019_0530PM\testScenario_for_API__FinalRepayment_withExactTwoInstallment2.json,C:\ACorn\jsonOutput\23-05-2019_0530PM\FinalRepayment_withExactTwoInstallmentjsonOutput_2.json,PASS,
23-05-2019,0530PM,FinalRepayment_withExactTwoInstallment,3,C:\ACorn\jsonPayload\23-05-2019_0530PM\testScenario_for_API__FinalRepayment_withExactTwoInstallment3.json,C:\ACorn\jsonOutput\23-05-2019_0530PM\FinalRepayment_withExactTwoInstallmentjsonOutput_3.json,PASS,
23-05-2019,0530PM,FinalRepayment_withExactTwoInstallment,4,C:\ACorn\jsonPayload\23-05-2019_0530PM\testScenario_for_API__FinalRepayment_withExactTwoInstallment4.json,C:\ACorn\jsonOutput\23-05-2019_0530PM\FinalRepayment_withExactTwoInstallmentjsonOutput_4.json,PASS,
23-05-2019,0530PM,FinalRepayment_withExactTwoInstallment,5,C:\ACorn\jsonPayload\23-05-2019_0530PM\testScenario_for_API__FinalRepayment_withExactTwoInstallment5.json,C:\ACorn\jsonOutput\23-05-2019_0530PM\FinalRepayment_withExactTwoInstallmentjsonOutput_5.json,PASS,
23-05-2019,0530PM,FinalRepayment_withExactTwoInstallment,6,C:\ACorn\jsonPayload\23-05-2019_0530PM\testScenario_for_API__FinalRepayment_withExactTwoInstallment6.json,C:\ACorn\jsonOutput\23-05-2019_0530PM\FinalRepayment_withExactTwoInstallmentjsonOutput_6.json,PASS,
23-05-2019,0530PM,FinalRepayment_withExactTwoInstallment,7,C:\ACorn\jsonPayload\23-05-2019_0530PM\testScenario_for_API__FinalRepayment_withExactTwoInstallment7.json,C:\ACorn\jsonOutput\23-05-2019_0530PM\FinalRepayment_withExactTwoInstallmentjsonOutput_7.json,PASS,
23-05-2019,0530PM,FinalRepayment_withExactTwoInstallment,8,C:\ACorn\jsonPayload\23-05-2019_0530PM\testScenario_for_API__FinalRepayment_withExactTwoInstallment8.json,C:\ACorn\jsonOutput\23-05-2019_0530PM\FinalRepayment_withExactTwoInstallmentjsonOutput_8.json,PASS,
23-05-2019,0530PM,FinalRepayment_withExactTwoInstallment,9,C:\ACorn\jsonPayload\23-05-2019_0530PM\testScenario_for_API__FinalRepayment_withExactTwoInstallment9.json,C:\ACorn\jsonOutput\23-05-2019_0530PM\FinalRepayment_withExactTwoInstallmentjsonOutput_9.json,PASS,
23-05-2019,0530PM,FinalRepayment_withExactTwoInstallment,10,C:\ACorn\jsonPayload\23-05-2019_0530PM\testScenario_for_API__FinalRepayment_withExactTwoInstallment10.json,C:\ACorn\jsonOutput\23-05-2019_0530PM\FinalRepayment_withExactTwoInstallmentjsonOutput_10.json,PASS,
23-05-2019,0530PM,FinalRepayment_withExactTwoInstallment,11,C:\ACorn\jsonPayload\23-05-2019_0530PM\testScenario_for_API__FinalRepayment_withExactTwoInstallment11.json,C:\ACorn\jsonOutput\23-05-2019_0530PM\FinalRepayment_withExactTwoInstallmentjsonOutput_11.json,PASS,
23-05-2019,0530PM,FinalRepayment_withExactTwoInstallment,12,C:\ACorn\jsonPayload\23-05-2019_0530PM\testScenario_for_API__FinalRepayment_withExactTwoInstallment12.json,C:\ACorn\jsonOutput\23-05-2019_0530PM\FinalRepayment_withExactTwoInstallmentjsonOutput_12.json,PASS,
23-05-2019,0530PM,FinalRepayment_withExactTwoInstallment,13,C:\ACorn\jsonPayload\23-05-2019_0530PM\testScenario_for_API__FinalRepayment_withExactTwoInstallment13.json,C:\ACorn\jsonOutput\23-05-2019_0530PM\FinalRepayment_withExactTwoInstallmentjsonOutput_13.json,PASS,
