Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
23-05-2019,1136AM,Basic_Repayment,1,C:\ACorn\jsonPayload\23-05-2019_1136AM\testScenario_for_API__Basic_Repayment1.json,C:\ACorn\jsonOutput\23-05-2019_1136AM\Basic_RepaymentjsonOutput_1.json,FAIL,|data.feeDetails[0].feeWaivedAmount not present in the results JSON Object|data.feeDetails[0].dueDate not present in the results JSON Object|Expected value for data.excessPaymentAdvanceAmount is 0 and actual value is 100.0|data.feeDetails[0].paidAmount not present in the results JSON Object|data.feeDetails[0].demandType not present in the results JSON Object|data.feeDetails[0].dueAmount not present in the results JSON Object|data.feeDetails[0].feeId not present in the results JSON Object
23-05-2019,1136AM,Basic_Repayment,2,C:\ACorn\jsonPayload\23-05-2019_1136AM\testScenario_for_API__Basic_Repayment2.json,C:\ACorn\jsonOutput\23-05-2019_1136AM\Basic_RepaymentjsonOutput_2.json,FAIL,|data.feeDetails[0].feeWaivedAmount not present in the results JSON Object|data.feeDetails[0].dueDate not present in the results JSON Object|Expected value for data.excessPaymentAdvanceAmount is 0 and actual value is 100.0|data.feeDetails[0].paidAmount not present in the results JSON Object|data.feeDetails[0].demandType not present in the results JSON Object|data.feeDetails[0].dueAmount not present in the results JSON Object|data.feeDetails[0].feeId not present in the results JSON Object
23-05-2019,1136AM,Basic_Repayment,3,C:\ACorn\jsonPayload\23-05-2019_1136AM\testScenario_for_API__Basic_Repayment3.json,C:\ACorn\jsonOutput\23-05-2019_1136AM\Basic_RepaymentjsonOutput_3.json,FAIL,|data.feeDetails[0].feeWaivedAmount not present in the results JSON Object|data.feeDetails[0].dueDate not present in the results JSON Object|Expected value for data.excessPaymentAdvanceAmount is 0 and actual value is 100.0|data.feeDetails[0].paidAmount not present in the results JSON Object|data.feeDetails[0].demandType not present in the results JSON Object|data.feeDetails[0].dueAmount not present in the results JSON Object|data.feeDetails[0].feeId not present in the results JSON Object
23-05-2019,1136AM,Basic_Repayment,4,C:\ACorn\jsonPayload\23-05-2019_1136AM\testScenario_for_API__Basic_Repayment4.json,C:\ACorn\jsonOutput\23-05-2019_1136AM\Basic_RepaymentjsonOutput_4.json,FAIL,|data.feeDetails[0].feeWaivedAmount not present in the results JSON Object|data.feeDetails[0].dueDate not present in the results JSON Object|data.feeDetails[0].paidAmount not present in the results JSON Object|data.feeDetails[0].demandType not present in the results JSON Object|data.feeDetails[0].dueAmount not present in the results JSON Object|data.feeDetails[0].feeId not present in the results JSON Object
23-05-2019,1136AM,Basic_Repayment,5,C:\ACorn\jsonPayload\23-05-2019_1136AM\testScenario_for_API__Basic_Repayment5.json,C:\ACorn\jsonOutput\23-05-2019_1136AM\Basic_RepaymentjsonOutput_5.json,FAIL,|data.feeDetails[0].feeWaivedAmount not present in the results JSON Object|data.feeDetails[0].dueDate not present in the results JSON Object|data.feeDetails[0].paidAmount not present in the results JSON Object|data.feeDetails[0].demandType not present in the results JSON Object|data.feeDetails[0].dueAmount not present in the results JSON Object|data.feeDetails[0].feeId not present in the results JSON Object
23-05-2019,1136AM,Basic_Repayment,6,C:\ACorn\jsonPayload\23-05-2019_1136AM\testScenario_for_API__Basic_Repayment6.json,C:\ACorn\jsonOutput\23-05-2019_1136AM\Basic_RepaymentjsonOutput_6.json,FAIL,|data.feeDetails[0].feeWaivedAmount not present in the results JSON Object|data.feeDetails[0].dueDate not present in the results JSON Object|data.feeDetails[0].paidAmount not present in the results JSON Object|data.feeDetails[0].demandType not present in the results JSON Object|data.feeDetails[0].dueAmount not present in the results JSON Object|data.feeDetails[0].feeId not present in the results JSON Object
23-05-2019,1136AM,Basic_Repayment,7,C:\ACorn\jsonPayload\23-05-2019_1136AM\testScenario_for_API__Basic_Repayment7.json,C:\ACorn\jsonOutput\23-05-2019_1136AM\Basic_RepaymentjsonOutput_7.json,FAIL,|data.feeDetails[0].feeWaivedAmount not present in the results JSON Object|data.feeDetails[0].dueDate not present in the results JSON Object|Expected value for data.principalDetails[0].dueDate is 2019-02-04 and actual value is 2019-01-04|Expected value for data.excessPaymentAdvanceAmount is 0 and actual value is 100.0|data.feeDetails[0].paidAmount not present in the results JSON Object|data.feeDetails[0].demandType not present in the results JSON Object|data.feeDetails[0].dueAmount not present in the results JSON Object|Expected value for data.interestDetails[0].dueDate is 2019-02-04 and actual value is 2019-01-04|Expected value for data.repaymentDate is 2019-02-04 and actual value is 2019-01-04|data.feeDetails[0].feeId not present in the results JSON Object
23-05-2019,1136AM,Basic_Repayment,8,C:\ACorn\jsonPayload\23-05-2019_1136AM\testScenario_for_API__Basic_Repayment8.json,C:\ACorn\jsonOutput\23-05-2019_1136AM\Basic_RepaymentjsonOutput_8.json,FAIL,|data.feeDetails[0].feeWaivedAmount not present in the results JSON Object|data.feeDetails[0].dueDate not present in the results JSON Object|Expected value for data.principalDetails[0].dueDate is 2019-02-04 and actual value is 2019-01-04|Expected value for data.excessPaymentAdvanceAmount is 0 and actual value is 100.0|data.feeDetails[0].paidAmount not present in the results JSON Object|data.feeDetails[0].demandType not present in the results JSON Object|data.feeDetails[0].dueAmount not present in the results JSON Object|Expected value for data.interestDetails[0].dueDate is 2019-02-04 and actual value is 2019-01-04|Expected value for data.repaymentDate is 2019-02-04 and actual value is 2019-01-04|data.feeDetails[0].feeId not present in the results JSON Object
23-05-2019,1136AM,Basic_Repayment,9,C:\ACorn\jsonPayload\23-05-2019_1136AM\testScenario_for_API__Basic_Repayment9.json,C:\ACorn\jsonOutput\23-05-2019_1136AM\Basic_RepaymentjsonOutput_9.json,FAIL,|data.feeDetails[0].feeWaivedAmount not present in the results JSON Object|data.feeDetails[0].dueDate not present in the results JSON Object|Expected value for data.principalDetails[0].dueDate is 2019-02-04 and actual value is 2019-01-04|Expected value for data.excessPaymentAdvanceAmount is 0 and actual value is 100.0|data.feeDetails[0].paidAmount not present in the results JSON Object|data.feeDetails[0].demandType not present in the results JSON Object|data.feeDetails[0].dueAmount not present in the results JSON Object|Expected value for data.interestDetails[0].dueDate is 2019-02-04 and actual value is 2019-01-04|Expected value for data.repaymentDate is 2019-02-04 and actual value is 2019-01-04|data.feeDetails[0].feeId not present in the results JSON Object
23-05-2019,1136AM,Basic_Repayment,10,C:\ACorn\jsonPayload\23-05-2019_1136AM\testScenario_for_API__Basic_Repayment10.json,C:\ACorn\jsonOutput\23-05-2019_1136AM\Basic_RepaymentjsonOutput_10.json,FAIL,|data.feeDetails[0].feeWaivedAmount not present in the results JSON Object|data.feeDetails[0].dueDate not present in the results JSON Object|Expected value for data.interestDetails[0].paidAmount is 0 and actual value is 50.0|data.feeDetails[0].paidAmount not present in the results JSON Object|data.feeDetails[0].demandType not present in the results JSON Object|data.feeDetails[0].dueAmount not present in the results JSON Object|data.feeDetails[0].feeId not present in the results JSON Object
