Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
24-01-2019,0520PM,AddFeeLoanAccount_Fixedcreate,1,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate1.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_1.json,PASS,
24-01-2019,0520PM,AddFeeLoanAccount_Fixedcreate,2,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate2.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_2.json,PASS,
24-01-2019,0520PM,AddFeeLoanAccount_Fixedcreate,3,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate3.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_3.json,PASS,
24-01-2019,0520PM,AddFeeLoanAccount_Fixedcreate,4,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate4.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_4.json,PASS,
24-01-2019,0520PM,AddFeeLoanAccount_Fixedcreate,5,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate5.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_5.json,FAIL,Actual response code received is 400
24-01-2019,0520PM,AddFeeLoanAccount_Fixedcreate,6,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate6.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_6.json,FAIL,Actual response code received is 400
24-01-2019,0520PM,AddFeeLoanAccount_Fixedcreate,7,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate7.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_7.json,FAIL,Actual response code received is 400
24-01-2019,0520PM,AddFeeLoanAccount_Fixedcreate,8,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate8.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_8.json,FAIL,Actual response code received is 400
24-01-2019,0520PM,AddFeeLoanAccount_Fixedcreate,9,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate9.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_9.json,FAIL,Actual response code received is 400
24-01-2019,0520PM,AddFeeLoanAccount_Fixedcreate,10,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate10.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_10.json,FAIL,Actual response code received is 400
24-01-2019,0520PM,AddFeeLoanAccount_Fixedcreate,11,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate11.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_11.json,FAIL,Actual response code received is 400
24-01-2019,0520PM,AddFeeLoanAccount_Fixedcreate,12,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate12.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_12.json,PASS,
24-01-2019,0520PM,AddFeeLoanAccount_Fixedcreate,13,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate13.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_13.json,PASS,
24-01-2019,0520PM,AddFeeLoanAccount_Fixedcreate,14,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate14.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_14.json,PASS,
24-01-2019,0520PM,AddFeeLoanAccount_Fixedcreate,15,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate15.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_15.json,PASS,
24-01-2019,0520PM,AddFeeLoanAccount_Fixedcreate,16,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate16.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_16.json,FAIL,Actual response code received is 400
24-01-2019,0520PM,AddFeeLoanAccount_Fixedcreate,17,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate17.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_17.json,FAIL,Actual response code received is 400
24-01-2019,0520PM,AddFeeLoanAccount_Fixedcreate,18,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate18.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_18.json,FAIL,Actual response code received is 400
24-01-2019,0521PM,AddFeeLoanAccount_Fixedcreate,19,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate19.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_19.json,FAIL,Actual response code received is 400
24-01-2019,0521PM,AddFeeLoanAccount_Fixedcreate,20,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate20.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_20.json,FAIL,Actual response code received is 400
24-01-2019,0521PM,AddFeeLoanAccount_Fixedcreate,21,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate21.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_21.json,FAIL,Actual response code received is 400
24-01-2019,0521PM,AddFeeLoanAccount_Fixedcreate,22,C:\ACorn\jsonPayload\24-01-2019_0519PM\testScenario_for_API__AddFeeLoanAccount_Fixedcreate22.json,C:\ACorn\jsonOutput\24-01-2019_0519PM\AddFeeLoanAccount_FixedcreatejsonOutput_22.json,FAIL,Actual response code received is 400
